Timestamp,Were you able to access HMS on day of allocation?,Did you select the single room out of your own volition?,"What's the reason you do not like the 4th/5th cluster?
(you can choose multiple answers!) (if you chose the cluster willingly, add the reason in others)",What would you want from admin side?,If there is anything else let us know!
2023/07/12 3:40:04 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;More hostel rooms to be allocated even non-ac is preferred over 4th & 5th cluster. Reduction of fees to the amount stated in the offer letter.,"I want some action to be taken and our voices to be heard, which doesn’t happen in this college."
2023/07/12 3:40:05 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/12 4:06:35 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/12 4:09:03 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,SNIOE is on the verge of becoming the next Amity!! 
2023/07/12 4:11:20 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/12 4:17:13 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 4:20:47 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,The distance from the academic blocks/isolated location;I chose it willingly. Although the distance is an issue I am going to face. ,Reduction in single room fees;Good AC hours for the fees we are paying. Specially during the night and weekends daytime.,
2023/07/12 4:21:58 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 4:26:45 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 4:35:25 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Increase Ac availability time,
2023/07/12 4:35:31 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 4:42:45 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 4:47:31 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/12 4:56:04 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,"this is a complete violation of our rights, no one told us during the time of admission that we would be forced to live in single rooms with non functioning ACs , no network, pests and on top of that forced to pay 40k more? we don’t choose this and we need to be heard"
2023/07/12 5:00:51 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 5:15:48 PM GMT+5:30,No,"No, I didn’t have any other choice.",I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 5:51:24 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 6:15:30 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;reducing the prices,
2023/07/12 6:22:44 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 6:42:46 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 7:20:25 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 7:27:11 PM GMT+5:30,No,Yes! I chose it because I preferred it.,Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/12 8:40:48 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,If the fees is reduced a considerable amount i don't mind a single room 
2023/07/12 9:42:32 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/12 9:42:42 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,No hot water,Reduction in single room fees,
2023/07/12 9:54:50 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,Make HMS better and please reduce the fee itd a lot
2023/07/12 10:37:38 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/13 1:17:05 AM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,Why didn’t we get more Ac room options for room selection 
2023/07/13 2:45:42 AM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/13 10:23:09 AM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 11:02:14 AM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 1:02:25 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",I have no problems,Reduction in single room fees,
2023/07/13 2:20:16 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/13 2:22:06 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/13 2:22:12 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 2:23:40 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 2:27:23 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,I would like a single room but the fees is so high that i don't want it. If anything that can be done to it then i would be really helpful
2023/07/13 2:29:07 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/13 2:32:48 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 2:35:11 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 2:50:26 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 2:52:35 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/13 2:56:13 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 2:59:34 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/13 3:05:30 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 3:12:01 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,The distance from the academic blocks/isolated location,.,
2023/07/13 3:18:01 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,Nah,Reduction in single room fees,
2023/07/13 3:29:36 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 3:44:19 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 4:05:27 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 4:13:05 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/13 5:24:32 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 6:30:24 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/13 10:58:25 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 12:02:47 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 12:05:59 AM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 12:14:24 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 12:14:31 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/14 12:23:53 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/14 12:33:05 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/14 12:34:38 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,I was able to access at a later time than the allocated time cause the servers wasn't responding while I tried to access it at the respective date at 10 AM.
2023/07/14 12:37:17 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 1:15:28 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 1:26:36 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/14 1:55:39 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 2:01:03 AM GMT+5:30,No,Yes! I chose it because I preferred it.,,Reduction in single room fees,
2023/07/14 2:28:29 AM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 3:36:02 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 5:57:18 AM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;Providing more twin sharing or quad sharing rooms and taking a survey via gmail perhaps before the hostel allocation to get an idea about how many students may take single rooms or twin sharing rooms,
2023/07/14 6:21:27 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone;Claustrophobic rooms,"Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;Atleast reply to the numerous emails and Stop treating students and even parents, in some case as non-existent.","The Allocation being a purely luck based-Roulette was more of a chaos. Deciding where you will reside for a whole year and pay the fees just on the basis of whose site crashes and whose does not is utter  Non-sense by the administration. Personally, I was sitting an hour in advance but the site opened only after 40 mins leaving me with no other choice. On top of that, we had a compulsion to fill the ODS undertaking w/o which we won't be able to book further. Instead of improving their website, this issue is left as it is each year while the administration forces their cash-cow methods on our parent's hard earned money."
2023/07/14 7:40:32 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 8:19:56 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 8:53:05 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 9:10:19 AM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 9:57:31 AM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,"Due to my pre-existing medical conditions, it is crucial for me to take up a room of twin sharing."
2023/07/14 10:41:11 AM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 12:58:23 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 1:16:06 PM GMT+5:30,Yes,"No, I didn’t have any other choice.","The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone;The 4th and 5th cluster would probably make us feel isolated, and i don't have the energy to walk back and forth all day long because i have classes and lab",Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;,The admin needs to work on listening to the student body and making decisions that aren't absolutely stupid
2023/07/14 1:28:02 PM GMT+5:30,Yes,Yes! I chose it because I preferred it.,The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,"Inadequate number of washrooms. No hot water facilities (in the shower etc). Would like mesh doors in front of room doors (similar to cluster 1/2/3). There are cameras close to the washroom entrance, which is unsafe and creepy."
2023/07/14 1:46:15 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 1:46:49 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 1:52:32 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 1:55:26 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees,
2023/07/14 2:03:31 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees,Reduction in single room fees,
2023/07/14 2:12:33 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;I dislike being alone,Reduction in single room fees,
2023/07/14 2:38:30 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,I had only 3B and Betla as my choices. I wanted a room in 3B with my friend but due to the site crashing and glitches in my friends payment dues both of us were unable to get any  room in 3B and had to pick rooms in Betla. The fee is too much and there should be other hostels available as options.
2023/07/14 3:01:47 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 3:03:33 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 3:07:01 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 3:08:23 PM GMT+5:30,No,"No, I didn’t have any other choice.",I dislike being alone,Ability to switch to twin sharing on basis of not given a choice on allocation,Admin block didn't respond to emails 
2023/07/14 3:11:43 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice,"Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation;They should give us the option of switching if we'd like to , they should have given it at the time of room allocation day , instead of us not allowing us to select our preference at the given day ","They should reduce fees , they should have given us the option to change from 4/5th cluster to hostels on allocation day instead of not opening the option only as when we filled the Google form it was a preference form , not a form that said we ONLY want 4/5th cluster "
2023/07/14 3:20:58 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees,
2023/07/14 4:24:29 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Want to enjoy hostel life with roommate(s) of choice,Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 5:16:21 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees,
2023/07/14 6:10:10 PM GMT+5:30,No,"No, I didn’t have any other choice.",Unreasonably high fees;Want to enjoy hostel life with roommate(s) of choice,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 6:20:19 PM GMT+5:30,No,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 6:51:38 PM GMT+5:30,No,Yes! I chose it because I preferred it.,The distance from the academic blocks/isolated location;Unreasonably high fees,Reduction in single room fees,
2023/07/14 9:03:19 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",The distance from the academic blocks/isolated location;Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 9:32:19 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.;Want to enjoy hostel life with roommate(s) of choice;I dislike being alone,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
2023/07/14 10:44:29 PM GMT+5:30,Yes,"No, I didn’t have any other choice.",Unreasonably high fees;Non functioning AC/Low AC usage time.,Reduction in single room fees;Ability to switch to twin sharing on basis of not given a choice on allocation,
